boutique_name,street_address,state,city,zip
A City Obsession,500 12th St. #128,CA,Oakland,94607
A Line Boutique,2000 S Acoma St.,CO,Denver,80223
Abigail Inc.,1216 Porta Ballena,CA,Alameda,94501
Abode,2416 Magowan Dr.,CA,Santa Rosa,95405
Adobe East,303 Southeast 17th Street #106,FL,Ocala,34471
Alene Women's Boutique-Closed,502 N. Pine Island Rd.,FL,Plantation,33324
Alice Becker,806 Grant Ave.,CA,Novato,94945
"Allied Feeds, Inc.",1551 N. Esplanade,TX,Cuero,77954
American Clothing Gallery,100 N 8th St.,ID,Boise,83702
Ann Marie - CLOSED,"Ann Marie
4000 East Madison",WA,Seattle,98112
Aquamarine,114 2nd Street,DE,Lewes,19958
Aromatherapy Closed,"Aromatherapy
326 Main St.",NY,Huntington,11743
Artemisia,117 Bent St,NM,Taos,87571
Artwear,185 Massachusetts Ave.,MA,Arlington,2474
At Ease,6325 Falls of Neuse Road,NC,Raleigh,27615
B. Real Women's Apparel,PO Box 5096,CA,Carmel,93921
Barbara and Company,1067 S. Gaylord St.,CO,Denver,80209
Barbara Eclectic CLOSED,"Barbara Eclectic
594 Valley Rd.",NJ,Upper Montclair,7043
Basiques,14210 Overbrook Lane,TX,Houston,77077
BB's Apparel and Boots,2340 East Murray Holladay Rd,UT,Holladay,84117
Beautiful,120 W. Main St.,CA,Grass Valley,95945
Bellagio Art to Wear,"Historic Biltmore Village
5 Biltmore Plaza",NC,Asheville,28803
Bellanova,222 96th Street,NJ,Stone Harbor,08247-1912
Betsy Prince,608 Brookwood Village,AL,Birmingham,35209
Biba- In Collections,"Biba
40 Hill Street",NY,Southhampton,11968
Bill Paul Limited,112 W. Wisconsin Ave.,WI,Neenah,54956
Birdies Lingerie,116 W 18th St,MO,Kansas City,64108
BK & Company,983 Farmington Ave.,CT,West Hartford,6107
Bleu Company,807 William Hilton Pkwy,SC,Hilton Head Island,29928
Body of Santa Fe,"333 W Cordova Road, Ste 200",NM,Santa Fe,87505
Bonne Nuit - Closed,"Bonne Nuit
1387 N. Main Street",CA,Walnut Creek,94596
Boulder Body Wear,"2660 Canyon Blvd., Suite A-1",CO,Boulder,80302
Bra-La-La,8180 Maple Lawn Blvd.,MD,Fulton,20759
Brenda's Clothing & Accessories,"Brenda Self
584 Front Street, Suite 104",LA,Natchitoches,71457
Britches of Concord,1 Eagle Square,NH,Concord,3301
Brown House on H,5379 H St.,CA,Sacramento,95819
Brownstein Smith,310 Carriage House Dr.,TN,Jackson,38305
Brush Creek Dry Goods - CLOSED,PO 192,CO,Edwards,81632
C. S. Post,"Shirley Comeau
308 W Mill St.",KS,Plainville,67663
Caldwell's (Closed),2610 NE Village Lane,WA,Seattle,98105
Candlelight Shoppe,407 Main St.,CT,Ridgefield,6877
Canopy Blue,3121 E. Madison St. STe 103,WA,Seattle,98112
Capra & Cavelli,"3500 Jefferson, Suite 110",TX,Austin,78731
Carbon - CLOSED,"Carbon
2643 Connecticut Ave. NW",DC,Washington,20008
Carmel Bay Company,"PO Box 5606
Ca",CA,Carmel By the Sea,93921-5606
Carrie Anne,2727 Revere St. #4046,TX,Houston,77098
Caruggi's,"5000 Westheimer
Suite 630",TX,Houston,77056
Cassandra Salon and Spa,225 Daniel Webster Highway,NH,Nashua,3060
Century 21 Department Stores,"Attn: Accounts Payable Department
22 Cortlandt Street",NY,New York,10007
Cher's Unique Boutqiue,"555 Peters Ave, Ste 120",CA,Pleasanton,94566
Chickie's Daughter,901 N Bethlehem Pike,PA,Spring House,19477
Clairee's Closet,107 N. Johnson,TX,Mineola,75773
Coco's by M. Cline,"Keena C. Ledford
500 Grand Blvd. # K101",FL,Miramar Beach,32550
Cole Couture,1240 Thomasville Rd. #102,FL,Tallahassee,32303
Colorado Co-op,"315 N. Tejon St.
Springs,",CO,Colorado,80903
Cotton Club,"Cotoen Club
3941 San Felipe",TX,Houston,77027
Crazy Scrubs,2751 W. Oxford Ave. Ste. 4,CO,Englewood,80110
Cricket Clothing Company,2814 2nd Ave. North,MT,Billings,59101
Crossroads Boutique,14 W 2nd St,PA,Greensburg,15601
Daisy Clover,"Bary W Hoemann
10830 Kennerly Rd",MO,St.Louis,63128
Deborah Kent's,"2120 A South Dale Mabry Highway
Florida",FL,Tampa,33629
Dena's Shop on the Corner,123 S Hemlock St.,OR,Cannon Beach,97110
Devon's Boutique,92 Second Street,OR,Bandon,97411
Diana & Jeffries (Closed),1339 Madison Ave.,NY,New York,10128
DIG (Closed),"Van Bolle
89 Partition",NY,St. Saugerties,12477
DinEa Boutique,2090 S. Grant St.,CO,Denver,80210
Dolce Donna - Closed,"Dolce Donna
175 Sunrock Drive",CA,Folsom,95630
EB Barrett- Closed,"EB Barrett
Ellen B. Grad
1875 Palmer Ave.",NY,Larchmont,10538
Eccentricity Inc,290 Fillmore St # 5,CO,Denver,80206
Elements of Style - Closed,"Elements of Style
258 Pharr Road",GA,Atlanta,30305
Eon Studios/Fashion Boutique,825 Paseo Road,CO,Colorado Springs,80907
Estilo,234 W. 2nd St.,TX,Austin,78701
Everard's Clothing,"1802 Wisconsin Ave, NW",DC,Washington,20007
Evey K (Closed),"EveyK
200 N. Quebec St. Bldg 700, ste 111",CO,Denver,80230
Excellence,148 Dominican Dr.,CA,San Rafael,94901
F. Bianco,43 Highland Ave.,RI,Warwick,2886
Faboo Fashion,PO Box 4829,CO,Basalt,81621
