order_id,customer_id,order_date,Order Status,Subtotal (inc tax),sub_total,Tax Total,Shipping Cost (inc tax),Shipping Cost (ex tax),Ship Method,Order Total (inc tax),order_total,total_quantity,Date Shipped,city,state,zip,Product Details,Coupon Details
3649,1583,16/12/2018,Shipped,109,109,0,0,0,Free Shipping - USPS - First Class Mail - 4 to 7 days,98.1,98.1,1,17/12/2018,Delray Beach,FL,33484,"Product ID: 525, Product Qty: 1, Product SKU: 1050-Black-M, Product Name: EveryWear Luxury Pant, Black, Product Weight: 0.3500, Product Variation Details: Size: M, Product Unit Price: 109.00, Product Total Price: 109.00","Coupon Code: 10more, Coupon Name: 10% more off holiday 2018, Coupon Value: 10.90"
3643,1146,11/12/2018,Shipped,144,144,0,0,0,Free Shipping - USPS - First Class Mail - 4 to 7 days,129.6,129.6,2,12/12/2018,Coral Gables,FL,33134,"Product ID: 509, Product Qty: 2, Product SKU: 401-Black-XL, Product Name: Crew Neck, Short Sleeve, Black, Product Weight: 0.3500, Product Variation Details: Size: XL, Product Unit Price: 72.00, Product Total Price: 144.00","Coupon Code: 10more, Coupon Name: 10% more off holiday 2018, Coupon Value: 14.40"
3653,570,18/12/2018,Shipped,150,150,0,0,0,Free Shipping - USPS - First Class Mail - 4 to 7 days,135,135,2,19/12/2018,Grosse Pointe Farms,MI,48236,"Product ID: 632, Product Qty: 1, Product SKU: 2000-White-L, Product Name: Droop Neck, 3/4 Sleeve, White, Product Weight: 0.3000, Product Variation Details: Size: L, Product Unit Price: 78.00, Product Total Price: 78.00|Product ID: 633, Product Qty: 1, Product SKU: 2000-SlateGray-L, Product Name: Droop Neck, 3/4 Sleeve, Slate Gray, Product Weight: 0.3000, Product Variation Details: Size: L, Product Unit Price: 72.00, Product Total Price: 72.00","Coupon Code: 10more, Coupon Name: 10% more off holiday 2018, Coupon Value: 15.00"
3642,545,11/12/2018,Shipped,156,156,0,0,0,Free Shipping - USPS - First Class Mail - 4 to 7 days,140.4,140.4,2,11/12/2018,raleigh,NC,27609,"Product ID: 590, Product Qty: 1, Product SKU: 2000-Navy-XL, Product Name: Droop Neck, 3/4 Sleeve, Navy, Product Weight: 0.3000, Product Variation Details: Size: XL, Product Unit Price: 78.00, Product Total Price: 78.00|Product ID: 632, Product Qty: 1, Product SKU: 2000-White-XL, Product Name: Droop Neck, 3/4 Sleeve, White, Product Weight: 0.3000, Product Variation Details: Size: XL, Product Unit Price: 78.00, Product Total Price: 78.00","Coupon Code: 10more, Coupon Name: 10% more off holiday 2018, Coupon Value: 15.60"
3641,539,11/12/2018,Shipped,179,179,0,0,0,Free Shipping - USPS - First Class Mail - 4 to 7 days,161.1,161.1,3,12/12/2018,Charlotte,NC,28203,"Product ID: 555, Product Qty: 1, Product SKU: 802-White-XL, Product Name: Turtleneck, Long Sleeve, White, Product Weight: 0.3000, Product Variation Details: Size: XL, Product Unit Price: 84.00, Product Total Price: 84.00|Product ID: 596, Product Qty: 1, Product SKU: 3000-White-One Size, Product Name: Scarf, White, Product Weight: 0.3000, Product Variation Details: One Size: Yes, Product Unit Price: 35.00, Product Total Price: 35.00|Product ID: 631, Product Qty: 1, Product SKU: 402-ChiliPepperRed-XL, Product Name: Crew Neck, Long Sleeve, Chili Pepper Red, Product Weight: 0.3500, Product Variation Details: Size: XL, Product Unit Price: 60.00, Product Total Price: 60.00","Coupon Code: 10more, Coupon Name: 10% more off holiday 2018, Coupon Value: 17.90"
3816,452,16/06/2019,Shipped,476,476,0,0,0,Free Shipping in USA - USPS - First Class Mail - 4 to 7 days,333.2,333.2,6,17/06/2019,Uniontown,OH,44685,"Product ID: 661, Product Qty: 1, Product SKU: 501-Black-S, Product Name: Tank, Product Weight: 0.3500, Product Variation Details: Color: Black, Size: S, Product Unit Price: 74.00, Product Total Price: 74.00|Product ID: 661, Product Qty: 1, Product SKU: 501-SlateGray-S, Product Name: Tank, Product Weight: 0.3500, Product Variation Details: Color: Slate Gray, Size: S, Product Unit Price: 74.00, Product Total Price: 74.00|Product ID: 662, Product Qty: 1, Product SKU: 230-White-S, Product Name: Scoop Neck - 3/4 Sleeve, Product Weight: 0.3500, Product Variation Details: Color: White, Size: S, Product Unit Price: 80.00, Product Total Price: 80.00|Product ID: 662, Product Qty: 1, Product SKU: 230-SlateGray-S, Product Name: Scoop Neck - 3/4 Sleeve, Product Weight: 0.3500, Product Variation Details: Color: Slate Gray, Size: S, Product Unit Price: 80.00, Product Total Price: 80.00|Product ID: 668, Product Qty: 1, Product SKU: 601-White-S, Product Name: Camisole, Product Weight: 0.3500, Product Variation Details: Color: White, Size: S, Product Unit Price: 84.00, Product Total Price: 84.00|Product ID: 668, Product Qty: 1, Product SKU: 601-Black-S, Product Name: Camisole, Product Weight: 0.3500, Product Variation Details: Color: Black, Size: S, Product Unit Price: 84.00, Product Total Price: 84.00","Coupon Code: 30more, Coupon Name: 30% off sale page with $200 spend, Coupon Value: 142.80"
3813,1453,11/6/2019,Shipped,80,80,0,0,0,Free Shipping in USA - USPS - First Class Mail - 4 to 7 days,56,56,1,11/6/2019,Danbury,NC,27016-7337,"Product ID: 662, Product Qty: 1, Product SKU: 230-Black-L, Product Name: Scoop Neck - 3/4 Sleeve, Product Weight: 0.3500, Product Variation Details: Color: Black, Size: L, Product Unit Price: 80.00, Product Total Price: 80.00","Coupon Code: 30more, Coupon Name: 30% off sale page with $200 spend, Coupon Value: 24.00"
3812,1614,10/6/2019,Shipped,84,84,0,0,0,Free Shipping in USA - USPS - First Class Mail - 4 to 7 days,58.8,58.8,1,11/6/2019,Middleton,WI,53562-5133,"Product ID: 656, Product Qty: 1, Product SKU: 9001-White-M, Product Name: Men's Crew Neck, Product Weight: 0.4500, Product Variation Details: Color: White, Size: M, Product Unit Price: 84.00, Product Total Price: 84.00","Coupon Code: 30more, Coupon Name: 30% off sale page with $200 spend, Coupon Value: 25.20"
3810,971,9/6/2019,Shipped,172.87,168,3.41,0,0,Free Shipping in USA - USPS - First Class Mail - 4 to 7 days,121.01,117.6,2,10/6/2019,Estes Park,CO,80517,"Product ID: 656, Product Qty: 2, Product SKU: 9001-Black-L, Product Name: Men's Crew Neck, Product Weight: 0.4500, Product Variation Details: Color: Black, Size: L, Product Unit Price: 86.44, Product Total Price: 172.87","Coupon Code: 30more, Coupon Name: 30% off sale page with $200 spend, Coupon Value: 50.40"
3814,879,11/6/2019,Shipped,222,222,0,6.5,6.5,USPS - Priority Mail - 2 to 3 days,161.9,161.9,3,12/6/2019,San Francisco,CA,94123,"Product ID: 661, Product Qty: 1, Product SKU: 501-White-S, Product Name: Tank, Product Weight: 0.3500, Product Variation Details: Color: White, Size: S, Product Unit Price: 74.00, Product Total Price: 74.00|Product ID: 661, Product Qty: 1, Product SKU: 501-Ivory-S, Product Name: Tank, Product Weight: 0.3500, Product Variation Details: Color: Ivory, Size: S, Product Unit Price: 74.00, Product Total Price: 74.00|Product ID: 661, Product Qty: 1, Product SKU: 501-Black-S, Product Name: Tank, Product Weight: 0.3500, Product Variation Details: Color: Black, Size: S, Product Unit Price: 74.00, Product Total Price: 74.00","Coupon Code: 30more, Coupon Name: 30% off sale page with $200 spend, Coupon Value: 66.60"
