sku,description
1001-Black-L,"High Neck Tank, Black, L"
1001-Black-M,"High Neck Tank, Black, M"
1001-Black-S,"High Neck Tank, Black, S"
1001-Black-XL,"High Neck Tank, Black, XL"
1001-Black-XS,"High Neck Tank, Black, XS"
1001-Ivory-L,"High Neck Tank, Ivory, L"
1001-Ivory-M,"High Neck Tank, Ivory, M"
1001-Ivory-S,"High Neck Tank, Ivory, S"
1001-Ivory-XL,"High Neck Tank, Ivory, XL"
1001-Ivory-XS,"High Neck Tank, Ivory, XS"
1001-White-L,"High Neck Tank, White, L"
1001-White-M,"High Neck Tank, White, M"
1001-White-S,"High Neck Tank, White, S"
1001-White-XL,"High Neck Tank, White, XL"
1001-White-XS,"High Neck Tank, White, XS"
101-Natural-L,"Deep Scoop, Short Sleeve, Natural, L"
101-Natural-XL,"Deep Scoop, Short Sleeve, Natural, XL"
101-Natural-XS,"Deep Scoop, Short Sleeve, Natural, XS"
1020-Black-XS,"Boy Short, Black, XS"
1020-White-L,"Boy Short, White, L"
1020-White-XS,"Boy Short,White, XS"
1030-Black-L,"Lace Thong, Black, L"
1030-White-XL,"Lace Thong, White, XL"
1031-Black-L,"Thong, Black, L"
1031-Black-M,"Thong, Black, M"
1031-Black-S,"Thong, Black, S"
1031-White-L,"Thong, White, L"
1031-White-XL,"Thong, White, XL"
1040-Black-L,Slip-Black-L
1040-Black-XS,Slip-Black-XS
1040-White-S,Slip-White-S
1041-Black-L,"Tank Dress, Black, L"
1041-Black-M,"Tank Dress, Black, M"
1041-Black-S,"Tank Dress, Black, S"
1041-Black-XL,"Tank Dress, Black, XL"
1041-Black-XS,"Tank Dress, Black, XS"
1050-Black-L,EveryWear Luxury Pant - Black - L
1050-Black-M,EveryWear Luxury Pant - Black - M
1050-Black-S,EveryWear Luxury Pant - Black - S
1050-Black-XL,EveryWear Luxury Pant - Black - XL
1050-Black-XS,EveryWear Luxury Pant - Black-XS
1050-White-L,EveryWear Luxury Pant - White - L
1050-White-M,EveryWear Luxury Pant - White - M
1050-White-S,EveryWear Luxury Pant - White - S
1050-White-XL,EveryWear Luxury Pant - White - XL
1050-White-XS,EveryWear Luxury Pant - White - XS
1060-Black-M/L,Robe-Black-M/L
1060-Shl Pnk-S,"Robe, Shell Pink, S"
1060-White-M/L,"Robe, White, M/L"
1060-White-S,"Robe, White, S"
15/280-Black,"Lace Elastic 2 1/4"""
2000-Black-L,"Droop Neck, 3/4th Sleeve, Black, L"
2000-Black-M,"Droop Neck, 3/4th Sleeve, Black, M"
2000-Black-S,"Droop Neck, 3/4th Sleeve, Black, S"
2000-Black-XL,"Droop Neck, 3/4th Sleeve, Black, XL"
