boutique_id,boutique_name,ranking
248,Stuarts Apparel,1
215,Sierra Trading Post - Multi Store,2
174,Neiman Marcus - Multi Store,3
124,Julian Gold San Antonio,4
62,Devon's Boutique,5
108,I. C. London,6
282,Underwraps,7
15,B. Real Women's Apparel,8
87,Gaia,9
148,Luna Boutique (Closed),10
225,Stein Mart,11
265,The Garden Room,12
82,French Cuff Boutique - Woodway,13
25,Bill Paul Limited,14
180,Over the Top,15
74,Excellence,16
182,Parker Panache,17
296,Wil Stiles,18
155,Mariel,19
253,Sylene of Washington,20
21,Bellagio Art to Wear,21
142,Lindisima,22
116,Inverness Golf Shop,23
100,Harriet's San Francisco,24
