boutique_id,boutique_name,street_address,city,state,zip
0,A City Obsession,500 12th St. #128,Oakland,CA,94607
1,A Line Boutique,2000 S Acoma St.,Denver,CO,80223
2,Abigail Inc.,1216 Porta Ballena,Alameda,CA,94501
3,Abode,2416 Magowan Dr.,Santa Rosa,CA,95405
4,Adobe East,303 Southeast 17th Street #106,Ocala,FL,34471
5,Alene Women's Boutique-Closed,502 N. Pine Island Rd.,Plantation,FL,33324
6,Alice Becker,806 Grant Ave.,Novato,CA,94945
7,"Allied Feeds, Inc.",1551 N. Esplanade,Cuero,TX,77954
8,American Clothing Gallery,100 N 8th St.,Boise,ID,83702
9,Ann Marie - CLOSED,"Ann Marie
4000 East Madison",Seattle,WA,98112
10,Aquamarine,114 2nd Street,Lewes,DE,19958
11,Aromatherapy Closed,"Aromatherapy
326 Main St.",Huntington,NY,11743
12,Artemisia,117 Bent St,Taos,NM,87571
13,Artwear,185 Massachusetts Ave.,Arlington,MA,02474
14,At Ease,6325 Falls of Neuse Road,Raleigh,NC,27615
15,B. Real Women's Apparel,PO Box 5096,Carmel,CA,93921
16,Barbara and Company,1067 S. Gaylord St.,Denver,CO,80209
17,Barbara Eclectic CLOSED,"Barbara Eclectic
594 Valley Rd.",Upper Montclair,NJ,07043
18,Basiques,14210 Overbrook Lane,Houston,TX,77077
19,BB's Apparel and Boots,2340 East Murray Holladay Rd,Holladay,UT,84117
20,Beautiful,120 W. Main St.,Grass Valley,CA,95945
21,Bellagio Art to Wear,"Historic Biltmore Village
5 Biltmore Plaza",Asheville,NC,28803
22,Bellanova,222 96th Street,Stone Harbor,NJ,08247
23,Betsy Prince,608 Brookwood Village,Birmingham,AL,35209
24,Biba- In Collections,"Biba
40 Hill Street",Southhampton,NY,11968
25,Bill Paul Limited,112 W. Wisconsin Ave.,Neenah,WI,54956
26,Birdies Lingerie,116 W 18th St,Kansas City,MO,64108
27,BK & Company,983 Farmington Ave.,West Hartford,CT,06107
28,Bleu Company,807 William Hilton Pkwy,Hilton Head Island,SC,29928
29,Body of Santa Fe,"333 W Cordova Road, Ste 200",Santa Fe,NM,87505
30,Bonne Nuit - Closed,"Bonne Nuit
1387 N. Main Street",Walnut Creek,CA,94596
31,Boulder Body Wear,"2660 Canyon Blvd., Suite A-1",Boulder,CO,80302
32,Bra-La-La,8180 Maple Lawn Blvd.,Fulton,MD,20759
33,Brenda's Clothing & Accessories,"Brenda Self
584 Front Street, Suite 104",Natchitoches,LA,71457
34,Britches of Concord,1 Eagle Square,Concord,NH,03301
35,Brown House on H,5379 H St.,Sacramento,CA,95819
36,Brownstein Smith,310 Carriage House Dr.,Jackson,TN,38305
37,Brush Creek Dry Goods - CLOSED,PO 192,Edwards,CO,81632
38,C. S. Post,"Shirley Comeau
308 W Mill St.",Plainville,KS,67663
39,Caldwell's (Closed),2610 NE Village Lane,Seattle,WA,98105
40,Candlelight Shoppe,407 Main St.,Ridgefield,CT,06877
41,Canopy Blue,3121 E. Madison St. STe 103,Seattle,WA,98112
42,Capra & Cavelli,"3500 Jefferson, Suite 110",Austin,TX,78731
43,Carbon - CLOSED,"Carbon
2643 Connecticut Ave. NW",Washington,DC,20008
44,Carmel Bay Company,"PO Box 5606
Ca",Carmel By the Sea,CA,93921
45,Carrie Anne,2727 Revere St. #4046,Houston,TX,77098
46,Caruggi's,"5000 Westheimer
Suite 630",Houston,TX,77056
47,Cassandra Salon and Spa,225 Daniel Webster Highway,Nashua,NH,03060
48,Century 21 Department Stores,"Attn: Accounts Payable Department
22 Cortlandt Street",New York,NY,10007
49,Cher's Unique Boutqiue,"555 Peters Ave, Ste 120",Pleasanton,CA,94566
50,Chickie's Daughter,901 N Bethlehem Pike,Spring House,PA,19477
51,Clairee's Closet,107 N. Johnson,Mineola,TX,75773
52,Coco's by M. Cline,"Keena C. Ledford
500 Grand Blvd. # K101",Miramar Beach,FL,32550
53,Cole Couture,1240 Thomasville Rd. #102,Tallahassee,FL,32303
54,Colorado Co-op,"315 N. Tejon St.
Springs,",Colorado,CO,80903
55,Cotton Club,"Cotoen Club
3941 San Felipe",Houston,TX,77027
56,Crazy Scrubs,2751 W. Oxford Ave. Ste. 4,Englewood,CO,80110
57,Cricket Clothing Company,2814 2nd Ave. North,Billings,MT,59101
