,order_id,customer_id,order_date,order_status,sub_total,order_total,total_quantity,month,coupon
0,3649,1583,16/12/2018,Shipped,109.0,98.1,1,12,True
1,3643,1146,11/12/2018,Shipped,144.0,129.6,2,12,True
2,3653,570,18/12/2018,Shipped,150.0,135.0,2,12,True
3,3642,545,11/12/2018,Shipped,156.0,140.4,2,12,True
4,3641,539,11/12/2018,Shipped,179.0,161.1,3,12,True
5,3816,452,16/06/2019,Shipped,476.0,333.2,6,06,True
6,3813,1453,11/6/2019,Shipped,80.0,56.0,1,6,True
7,3812,1614,10/6/2019,Shipped,84.0,58.8,1,6,True
8,3810,971,9/6/2019,Shipped,168.0,117.6,2,6,True
9,3814,879,11/6/2019,Shipped,222.0,161.9,3,6,True
10,2366,1276,9/2/2016,Shipped,62.0,48.9,1,2,True
11,2368,213,10/2/2016,Shipped,261.0,182.7,4,2,True
12,4177,792,28/10/2020,Shipped,160.0,112.0,2,10,True
13,4174,673,27/10/2020,Shipped,168.0,117.6,2,10,True
14,4173,1731,27/10/2020,Shipped,238.0,166.6,3,10,True
15,4179,769,29/10/2020,Shipped,240.0,168.0,3,10,True
16,1705,1027,2/12/2014,Shipped,69.0,60.7,1,12,True
17,1690,1013,2/12/2014,Shipped,69.0,60.7,1,12,True
18,1715,1033,5/12/2014,Shipped,69.0,60.7,1,12,True
19,1722,1036,8/12/2014,Shipped,69.0,60.7,1,12,True
20,1725,1039,8/12/2014,Shipped,71.0,62.3,1,12,True
21,1687,1010,2/12/2014,Shipped,91.0,78.3,3,12,True
22,1703,1025,2/12/2014,Shipped,93.0,74.4,2,12,True
23,1684,1008,2/12/2014,Shipped,99.0,79.2,1,12,True
24,1723,1038,8/12/2014,Shipped,99.0,79.2,1,12,True
25,1689,1012,2/12/2014,Shipped,119.0,95.2,2,12,True
26,1730,1043,10/12/2014,Shipped,124.0,99.2,2,12,True
27,1693,1017,2/12/2014,Shipped,131.0,104.8,2,12,True
28,1698,1021,2/12/2014,Shipped,138.0,110.4,2,12,True
29,1695,1019,2/12/2014,Shipped,138.0,110.4,2,12,True
30,1694,1018,2/12/2014,Shipped,138.0,110.4,2,12,True
31,1711,1031,3/12/2014,Shipped,140.0,112.0,2,12,True
32,1708,1028,2/12/2014,Shipped,144.0,115.2,2,12,True
33,1691,1015,2/12/2014,Shipped,168.0,134.4,2,12,True
34,1732,1045,10/12/2014,Shipped,168.0,134.4,2,12,True
35,1699,1022,2/12/2014,Shipped,207.0,165.6,3,12,True
36,1704,1026,2/12/2014,Shipped,230.0,184.0,3,12,True
37,1683,1009,2/12/2014,Shipped,251.0,200.8,4,12,True
38,1700,1023,2/12/2014,Shipped,282.0,225.6,4,12,True
39,1701,1024,2/12/2014,Shipped,45.0,41.5,1,12,True
40,1697,1020,2/12/2014,Shipped,49.0,47.55,1,12,True
41,2771,1358,12/12/2016,Shipped,35.0,17.5,1,12,True
42,2704,1348,1/12/2016,Shipped,39.0,19.5,1,12,True
43,2775,1359,12/12/2016,Shipped,69.0,34.5,1,12,True
44,2769,1295,12/12/2016,Shipped,69.0,34.5,1,12,True
45,2767,1259,12/12/2016,Shipped,69.0,34.5,1,12,True
46,2766,533,12/12/2016,Shipped,74.0,37.0,2,12,True
47,2773,1329,12/12/2016,Shipped,78.0,39.0,2,12,True
48,2764,1357,12/12/2016,Shipped,83.0,41.5,7,12,True
49,2776,1360,12/12/2016,Shipped,89.0,44.5,4,12,True
50,2777,233,12/12/2016,Shipped,116.0,58.0,3,12,True
51,2856,1370,20/12/2016,Shipped,283.0,0.0,4,12,True
52,3153,1445,24/08/2017,Shipped,144.0,0.0,2,08,True
53,3833,741,7/8/2019,Shipped,74.0,59.2,1,8,True
54,3831,545,2/8/2019,Shipped,732.0,585.6,9,8,True
55,3835,741,10/8/2019,Shipped,80.0,64.0,1,8,True
56,3832,1453,2/8/2019,Shipped,84.0,67.2,1,8,True
57,3834,741,10/8/2019,Shipped,89.0,71.2,1,8,True
58,2568,414,18/10/2016,Shipped,74.0,49.9,1,10,True
59,3130,1208,9/8/2017,Shipped,67.0,53.6,1,8,True
60,3132,885,9/8/2017,Shipped,74.0,59.2,1,8,True
61,3140,1438,11/8/2017,Shipped,74.0,59.2,1,8,True
62,3133,1297,10/8/2017,Shipped,150.0,120.0,2,8,True
63,3141,539,12/8/2017,Shipped,152.0,121.6,2,8,True
64,3142,1441,13/08/2017,Shipped,163.0,130.4,3,08,True
65,3139,1440,11/8/2017,Shipped,357.0,285.6,6,8,True
66,1003,653,8/12/2012,Shipped,62.0,56.54,1,12,True
67,1006,42,9/12/2012,Shipped,69.0,62.3,1,12,True
68,1010,14,11/12/2012,Shipped,69.0,60.7,1,12,True
69,992,471,30/11/2012,Shipped,71.0,63.95,1,11,True
70,991,387,30/11/2012,Shipped,82.0,71.1,1,11,True
71,1392,680,12/2/2014,Shipped,587.0,469.6,13,2,True
72,1373,814,3/2/2014,Shipped,69.0,60.7,1,2,True
73,1377,768,3/2/2014,Shipped,69.0,60.7,1,2,True
74,1382,502,4/2/2014,Shipped,93.0,82.75,3,2,True
75,1380,841,3/2/2014,Shipped,100.0,80.0,2,2,True
76,1384,233,4/2/2014,Shipped,119.0,95.2,2,2,True
77,1376,554,3/2/2014,Shipped,124.0,99.2,2,2,True
78,1389,671,9/2/2014,Shipped,138.0,110.4,2,2,True
79,1371,654,3/2/2014,Shipped,162.0,129.6,3,2,True
80,1383,44,4/2/2014,Shipped,22.0,23.1,2,2,True
81,1375,766,3/2/2014,Shipped,207.0,165.6,3,2,True
82,1385,368,6/2/2014,Shipped,209.0,167.2,3,2,True
83,1386,850,7/2/2014,Shipped,276.0,220.8,4,2,True
84,1394,459,14/02/2014,Shipped,278.0,222.4,4,02,True
85,1391,773,11/2/2014,Shipped,285.0,228.0,4,2,True
86,3274,1478,11/12/2017,Shipped,67.0,36.85,1,12,True
87,3272,636,11/12/2017,Shipped,67.0,36.85,1,12,True
88,3270,754,11/12/2017,Shipped,134.0,73.7,2,12,True
89,3817,1605,20/06/2019,Shipped,217.0,86.8,2,06,True
90,3818,373,24/06/2019,Shipped,99.0,39.6,1,06,True
91,3863,735,20/09/2019,Shipped,198.0,99.0,2,09,True
92,3053,68,13/04/2017,Shipped,29.0,17.4,1,04,True
93,3048,14,12/4/2017,Shipped,35.0,21.0,1,4,True
94,3051,9001,13/04/2017,Shipped,35.0,21.0,1,04,True
95,3052,1404,13/04/2017,Shipped,59.0,35.4,1,04,True
96,3050,1413,12/4/2017,Shipped,69.0,41.4,1,4,True
97,3047,1299,12/4/2017,Shipped,104.0,62.4,2,4,True
98,3049,1031,12/4/2017,Shipped,108.0,64.8,2,4,True
99,3058,1416,16/04/2017,Shipped,108.0,64.8,2,04,True
100,3919,1652,29/11/2019,Shipped,160.0,112.0,2,11,True
101,4109,266,12/8/2020,Shipped,158.0,126.4,2,8,True
102,4107,1438,11/8/2020,Shipped,160.0,128.0,2,8,True
103,2519,1236,8/8/2016,Shipped,68.0,59.9,1,8,True
104,2521,379,9/8/2016,Shipped,76.0,60.8,1,8,True
105,2522,355,9/8/2016,Shipped,136.0,108.8,2,8,True
106,2523,1141,11/8/2016,Shipped,154.0,123.2,2,8,True
107,2520,308,8/8/2016,Shipped,208.0,166.4,3,8,True
108,2822,1366,17/12/2016,Shipped,67.0,40.2,1,12,True
109,2817,1358,17/12/2016,Shipped,67.0,40.2,1,12,True
110,2816,1193,17/12/2016,Shipped,134.0,80.4,2,12,True
111,3609,741,23/11/2018,Shipped,328.0,213.2,4,11,True
112,3612,491,23/11/2018,Shipped,328.0,213.2,4,11,True
113,3621,1472,26/11/2018,Shipped,328.0,213.2,4,11,True
114,3923,1584,29/11/2019,Shipped,404.0,282.8,5,11,True
115,3618,1104,24/11/2018,Shipped,358.0,232.7,4,11,True
116,3630,452,26/11/2018,Shipped,728.0,473.2,9,11,True
117,3924,885,29/11/2019,Shipped,160.0,112.0,2,11,True
118,3610,1574,23/11/2018,Shipped,160.0,104.0,2,11,True
119,3614,885,23/11/2018,Shipped,160.0,104.0,2,11,True
120,3626,1575,26/11/2018,Shipped,160.0,104.0,2,11,True
121,3628,971,26/11/2018,Shipped,160.0,104.0,2,11,True
122,3629,800,26/11/2018,Shipped,160.0,104.0,2,11,True
123,3616,1453,24/11/2018,Shipped,168.0,109.2,2,11,True
124,3617,591,24/11/2018,Shipped,168.0,109.2,2,11,True
125,3921,491,29/11/2019,Shipped,224.0,156.8,3,11,True
126,3926,1487,30/11/2019,Shipped,318.0,222.6,4,11,True
127,3922,1636,29/11/2019,Shipped,323.0,226.1,4,11,True
128,3925,735,29/11/2019,Shipped,324.0,226.8,4,11,True
129,4232,1754,30/11/2020,Shipped,228.0,171.0,3,11,True
130,4227,1752,30/11/2020,Shipped,248.0,186.0,3,11,True
131,4235,1322,30/11/2020,Shipped,248.0,186.0,3,11,True
132,4228,1750,30/11/2020,Shipped,252.0,189.0,3,11,True
133,3239,1450,27/11/2017,Shipped,374.0,261.8,5,11,True
134,3228,1361,24/11/2017,Shipped,395.0,276.5,6,11,True
135,3227,581,24/11/2017,Shipped,420.0,294.0,6,11,True
136,3229,1471,24/11/2017,Shipped,74.0,51.8,1,11,True
137,3241,1471,27/11/2017,Shipped,74.0,51.8,1,11,True
138,3237,1466,27/11/2017,Shipped,76.0,53.2,1,11,True
139,3236,1398,27/11/2017,Shipped,76.0,53.2,1,11,True
140,3235,414,27/11/2017,Shipped,76.0,53.2,1,11,True
141,3243,397,27/11/2017,Shipped,76.0,53.2,1,11,True
142,3245,1460,27/11/2017,Shipped,105.0,73.5,1,11,True
143,3244,1377,27/11/2017,Shipped,105.0,73.5,1,11,True
144,3225,1346,24/11/2017,Shipped,148.0,103.6,2,11,True
145,3238,491,27/11/2017,Shipped,148.0,103.6,2,11,True
146,3234,1358,27/11/2017,Shipped,152.0,106.4,2,11,True
147,3247,971,27/11/2017,Shipped,224.0,156.8,3,11,True
148,3230,1133,25/11/2017,Shipped,228.0,159.6,3,11,True
149,3223,1453,23/11/2017,Shipped,257.0,179.9,3,11,True
150,3242,1233,27/11/2017,Shipped,296.0,207.2,4,11,True
151,4222,1487,29/11/2020,Shipped,356.0,249.2,4,11,True
152,4221,1584,29/11/2020,Shipped,330.0,231.0,4,11,True
153,1676,1003,29/11/2014,Shipped,68.0,46.3,1,11,True
154,3822,1521,12/7/2019,Shipped,154.0,123.2,2,7,True
